1	0
2	5
3	5
4	5
5	5
1	0
2	5
3	5
4	5
1	0
2	4
3	5
4	5
5	5
6	5
1	0
2	4
1	0
2	3
3	5
4	5
5	4
6	3
7	1
8	4
9	2
10	4
11	5
12	4
13	4
14	4
15	2
1	0
2	2
3	5
4	4
5	4
6	4
7	3
8	3
9	1
10	3
11	4
12	3
13	5
14	5
15	4
1	0
2	3
3	5
4	4
5	3
6	4
7	2
8	3
9	3
10	4
11	2
12	3
13	4
14	2
15	4
1	0
2	3
3	4
4	4
5	3
6	4
7	3
8	3
9	2
10	4
11	3
12	4
13	3
14	3
15	4
1	0
2	3
3	4
4	4
5	4
6	4
7	3
8	3
9	4
10	4
11	2
12	2
13	3
14	4
15	4
1	0
2	4
3	4
4	5
5	4
6	4
7	3
8	3
9	2
10	2
11	4
12	4
13	4
14	4
15	3
1	0
2	3
3	5
4	5
5	4
6	4
7	4
8	3
9	2
10	2
11	3
12	3
13	3
14	5
15	3
1	0
2	3
3	5
4	5
5	4
6	3
7	1
8	4
9	2
10	4
11	5
12	4
13	4
14	4
15	2
1	0
2	3
3	5
4	5
5	4
6	3
7	1
8	4
9	2
10	4
11	5
12	4
13	4
14	4
15	2
1.08e-09	0
1	0
